ProductId,Country,Score,DealerPrice,Markup,ListPrice,Province,Region_1,Region_2,Title,Vintage,Variety,Winery,Year
8859,Italy,95,321,1.4,450,Piedmont,Barbaresco,,Gaja 2013 Costa Russi  (Barbaresco),2013,Nebbiolo,Gaja,2013
8865,Italy,95,58,1.4,82,Lombardy,Sforzato di Valtellina,,Nino Negri 2013 5 Stelle  (Sforzato di Valtellina),2013,Nebbiolo,Nino Negri,2013
8883,Italy,95,39,1.4,55,Piedmont,Boca,,Le Piane 2009  Boca,2009,Red Blend,Le Piane,2009
10743,Italy,95,328,1.4,460,Tuscany,Toscana,,Tenuta dell'Ornellaia 2005 Masseto Merlot (Toscana),2005,Merlot,Tenuta dell'Ornellaia,2005
10745,Italy,95,85,1.4,119,Tuscany,Toscana,,Poggio Antico 2007 Madre Red (Toscana),2007,Red Blend,Poggio Antico,2007
11186,Italy,95,35,1.4,50,Sicily & Sardinia,Etna,,Benanti 2009  Etna,2009,Nerello Mascalese,Benanti,2009
15184,Italy,95,185,1.4,260,Tuscany,Toscana,,Castello dei Rampolla 2011 D'Alceo Red (Toscana),2011,Red Blend,Castello dei Rampolla,2011
15190,Italy,95,32,1.4,46,Tuscany,Brunello di Montalcino,,Il Colle 2010  Brunello di Montalcino,2010,Sangiovese,Il Colle,2010
15191,Italy,95,102,1.4,144,Tuscany,Brunello di Montalcino,,Il Paradiso di Manfredi 2007 Riserva  (Brunello di Montalcino),2007,Sangiovese,Il Paradiso di Manfredi,2007
15613,Italy,95,71,1.4,100,Northeastern Italy,Colli Orientali del Friuli,,Livio Felluga 2004 Picolit Picolit (Colli Orientali del Friuli),2004,Picolit,Livio Felluga,2004
15831,Italy,97,96,1.3,125,Tuscany,Brunello di Montalcino,,Altesino 2012 Montosoli  (Brunello di Montalcino),2012,Sangiovese,Altesino,2012
15844,Italy,96,50,1.3,65,Tuscany,Brunello di Montalcino,,Le Chiuse 2012  Brunello di Montalcino,2012,Sangiovese,Le Chiuse,2012
15853,Italy,96,153,1.3,199,Tuscany,Brunello di Montalcino,,Biondi Santi 2012  Brunello di Montalcino,2012,Sangiovese,Biondi Santi,2012
16523,Italy,97,57,1.3,75,Piedmont,Barolo,,Germano Ettore 2013 Prapò  (Barolo),2013,Nebbiolo,Germano Ettore,2013
16526,Italy,96,42,1.3,55,Piedmont,Barbaresco,,Albino Rocca 2014 Ronchi  (Barbaresco),2014,Nebbiolo,Albino Rocca,2014
16527,Italy,96,53,1.3,70,Piedmont,Barolo,,Brezza 2013 Sarmassa  (Barolo),2013,Nebbiolo,Brezza,2013
16530,Italy,96,75,1.3,98,Piedmont,Barbaresco,,Albino Rocca 2014 Angelo  (Barbaresco),2014,Nebbiolo,Albino Rocca,2014
16534,Italy,95,53,1.4,75,Piedmont,Barolo,,Germano Ettore 2013 Cerretta  (Barolo),2013,Nebbiolo,Germano Ettore,2013
16770,Italy,98,46,1.3,60,Piedmont,Barolo,,Brezza 2013 Cannubi  (Barolo),2013,Nebbiolo,Brezza,2013
16771,Italy,98,53,1.3,70,Piedmont,Barolo,,Comm. G. B. Burlotto 2013 Monvigliero  (Barolo),2013,Nebbiolo,Comm. G. B. Burlotto,2013
16772,Italy,98,116,1.3,151,Piedmont,Barolo,,Massolino 2011 Vigna Rionda Riserva  (Barolo),2011,Nebbiolo,Massolino,2011
16773,Italy,98,230,1.3,300,Piedmont,Barolo,,Giuseppe Rinaldi 2013 Brunate  (Barolo),2013,Nebbiolo,Giuseppe Rinaldi,2013
16774,Italy,97,63,1.3,82,Piedmont,Barolo,,Elvio Cogno 2013 Ravera  (Barolo),2013,Nebbiolo,Elvio Cogno,2013
21078,Italy,97,250,1.3,325,Tuscany,Toscana,,Marchesi Antinori 2010 Solaia Red (Toscana),2010,Red Blend,Marchesi Antinori,2010
21081,Italy,96,61,1.3,80,Tuscany,Toscana,,Isole e Olena 2010 Cepparello Sangiovese (Toscana),2010,Sangiovese,Isole e Olena,2010
21087,Italy,95,107,1.4,150,Tuscany,Brunello di Montalcino,,Col d'Orcia 2006 Poggio al Vento Riserva  (Brunello di Montalcino),2006,Sangiovese,Col d'Orcia,2006
